last_name, first_name,player_id,year,slg_percent,on_base_percent,on_base_plus_slg,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,
Romine, Andrew,461865,2018,.244,.252,.496,81.1,11.2,28.6,1.2,16.7,
Andrus, Elvis,462101,2018,.367,.308,.675,87.2,8.7,30.8,4.2,30.5,
Petit, Gregorio,463610,2018,.279,.313,.592,85.7,15.8,34,2.1,23.4,
Cervelli, Francisco,465041,2018,.431,.376,.807,88.8,16.3,36.2,8.3,39.4,
Florimon, Pedro,465753,2018,.423,.276,.699,90.2,16.4,39,4.9,43.9,
Cabrera, Melky,466320,2018,.420,.335,.755,90.7,9.1,33.6,2.3,41.7,
Sandoval, Pablo,467055,2018,.417,.310,.727,90.1,9.7,32.4,5,36.9,
Ramos, Wilson,467092,2018,.487,.358,.845,91.3,4.5,33.6,7.2,48.2,
Nova, Ivan,467100,2018,.019,.018,.037,81.9,-5.1,15.4,0,11.5,
Santana, Carlos,467793,2018,.414,.352,.766,88.9,15.4,30.1,6.9,39.1,
Parra, Gerardo,467827,2018,.372,.341,.712,86.8,9.2,34.7,2.7,26.6,
Chacin, Jhoulys,468504,2018,.179,.176,.355,86.5,7.2,10.4,0,16.7,
Gonzalez, Carlos,471865,2018,.467,.329,.796,89.7,9,30,6.2,39.1,
Valbuena, Luis,472528,2018,.335,.253,.588,89.7,18.2,29.8,10.1,41.3,
Mercer, Jordy,474568,2018,.381,.314,.695,87.6,13.1,40.8,4.8,31.8,
Belt, Brandon,474832,2018,.414,.342,.756,87,23.3,43.9,10.5,31.6,
Alonso, Yonder,475174,2018,.421,.317,.738,87.8,15.7,36.9,9.8,37.5,
Flaherty, Ryan,475247,2018,.292,.297,.589,87.8,0.4,28.7,2.5,27.3,
Smoak, Justin,475253,2018,.457,.350,.808,89.5,15,36.9,10.8,42.5,
Zimmerman, Ryan,475582,2018,.486,.337,.824,92.6,7.1,28.9,13.6,52.8,
Lowrie, Jed,476704,2018,.448,.353,.801,89.2,17.4,38,5.3,37.9,
Alvarez, Pedro,476883,2018,.414,.283,.698,90.6,12.2,26.7,14.7,44,
Kershaw, Clayton,477132,2018,.283,.316,.598,80.1,-1.6,25.6,0,7.7,
Avila, Alex,488671,2018,.304,.299,.603,89.7,8.6,34.9,12.3,46.2,
Brantley Jr., Michael,488726,2018,.468,.363,.831,90.2,9.5,38.3,3.5,38.4,
Castro, Jason,488771,2018,.238,.257,.495,87.1,4.3,28.9,5.3,32.3,
d'Arnaud, Chase,488818,2018,.366,.250,.616,89,20.9,36.2,5.2,34.5,
Morrison, Logan,489149,2018,.368,.276,.644,88.7,20.5,36,10.9,38.2,
Hernandez, Gorkys,491676,2018,.391,.284,.675,87.5,12.6,30.3,7.8,35.5,
Sucre, Jesus,491696,2018,.253,.242,.495,85.9,11.3,28.9,0.6,24.5,
Cespedes, Yoenis,493316,2018,.496,.325,.821,90.8,19.7,36.6,10.8,46.2,
Gurriel, Yuli,493329,2018,.428,.323,.751,89.3,11.5,32.6,1.9,36.6,
Beckham, Gordon,493596,2018,.205,.240,.445,86.8,14.6,22.9,5.7,20,
Rodriguez, Ronny,500135,2018,.335,.252,.588,86,13.1,27.9,3.2,31.2,
Solarte, Yangervis,500208,2018,.378,.277,.655,87.1,14,30.3,5,31.5,
Rojas, Miguel,500743,2018,.346,.295,.642,84.7,9.3,35.2,0.9,23.8,
Quintana, Jose,500779,2018,.077,.069,.146,82,-14.7,12.5,0,12.5,
Escobar, Eduardo,500871,2018,.489,.334,.824,86.7,18.9,38.6,8.3,27.4,
Martinez, Jose,500874,2018,.457,.363,.820,91,8.1,37.5,9.4,44.6,
Sierra, Moises,501213,2018,.204,.217,.420,89,3.8,16.7,8.3,31.4,
Adrianza, Ehire,501303,2018,.379,.298,.677,86.7,16.4,34.4,5,30.6,
Lagares, Juan,501571,2018,.390,.375,.765,88.4,5.8,25.5,0,31.4,
Almonte, Abraham,501659,2018,.284,.258,.542,89.1,7.7,27,8,37,
Freese, David,501896,2018,.471,.359,.830,90.7,7.3,34.6,9,45,
Davis, Khris,501981,2018,.549,.326,.874,92.5,18.1,37.7,17.2,48.1,
Pham, Tommy,502054,2018,.464,.367,.830,93,6.6,38.7,10.1,49.9,
Chisenhall, Lonnie,502082,2018,.452,.389,.842,85.8,20.8,38.4,2.7,28.8,
Martinez, J.D.,502110,2018,.629,.402,1.031,93,10.8,40.2,16.3,52.2,
Valencia, Danny,502143,2018,.408,.316,.723,90.7,9.2,35.3,7.7,41,
Reddick, Josh,502210,2018,.400,.316,.716,85.8,18.2,32,3.9,27,
Gentry, Craig,502226,2018,.346,.320,.666,83.9,9.6,31,1.6,21.4,
Dyson, Jarrod,502481,2018,.257,.278,.536,85.3,11,28.4,1.7,19.3,
Murphy, Daniel,502517,2018,.454,.336,.790,87.5,16.2,41.9,4.8,28.8,
Goldschmidt, Paul,502671,2018,.533,.388,.921,90.8,15.7,37.1,13.6,44,
Holland, Derek,502706,2018,.075,.071,.147,88.9,-2.7,9.1,0,27.3,
Gonzalez, Marwin,503556,2018,.409,.321,.730,89.1,11.3,35.9,7,41.2,
Leon, Sandy,506702,2018,.279,.229,.508,84.8,16.9,29.9,4.6,25.8,
Sanchez, Adrian,506703,2018,.345,.288,.633,87,9.1,36,6,28.6,
Pena, Francisco,506747,2018,.271,.239,.510,85.5,7.2,27.2,3.3,27.2,
Altuve, Jose,514888,2018,.451,.384,.835,87.2,10.1,34.2,6.1,33.3,
Hernandez, Cesar,514917,2018,.362,.356,.718,86,11.5,30.2,4.4,28.4,
Segura, Jean,516416,2018,.415,.339,.753,87.8,7.8,30,3.6,32.3,
Arcia, Francisco,516472,2018,.427,.226,.654,82.6,11.2,31.6,6.6,19.7,
Castro, Starlin,516770,2018,.400,.329,.729,88.6,8.4,32,6.9,36.2,
Marte, Starling,516782,2018,.460,.327,.786,88.5,8.9,31.5,7.5,38.8,
Pirela, Jose,517369,2018,.345,.300,.645,89,4.7,25.1,3.4,37.4,
Culberson, Charlie,518586,2018,.466,.326,.792,85.2,8.6,34,5.7,30.7,
Descalso, Daniel,518614,2018,.436,.352,.788,89,19.1,41.5,10.2,34.8,
Dietrich, Derek,518618,2018,.421,.330,.751,87.6,15.8,34.1,6.1,37.8,
Donaldson, Josh,518626,2018,.449,.352,.801,90.2,11.6,32.8,10.4,41.4,
Freeman, Freddie,518692,2018,.505,.388,.892,89.1,14.5,44.9,9.3,40,
Grandal, Yasmani,518735,2018,.466,.349,.815,89,14.1,32.9,11.6,40.4,
Harvey, Matt,518774,2018,.075,.105,.181,85.9,1.6,22.2,0,19.4,
Heyward, Jason,518792,2018,.395,.333,.729,88.4,9.3,29.4,2.9,39.1,
Kozma, Pete,518902,2018,.348,.233,.581,83.9,11.2,35.7,1.8,21.4,
LeMahieu, DJ,518934,2018,.428,.320,.748,91.4,5.9,31.3,5.2,43.2,
Lucroy, Jonathan,518960,2018,.325,.291,.616,86.9,13.5,37,2.2,27.5,
Mesoraco, Devin,519023,2018,.398,.303,.700,86.6,20.6,26.9,6.2,28.5,
Moreland, Mitch,519048,2018,.433,.325,.758,91,11.5,34.2,12.4,44.4,
Moustakas, Mike,519058,2018,.459,.315,.774,89.5,19.9,31.3,8.8,39.1,
Rizzo, Anthony,519203,2018,.470,.376,.846,90.1,14.7,36,6.7,40.1,
Romine, Austin,519222,2018,.417,.294,.712,88.6,9.6,33.5,5,38,
Sogard, Eric,519299,2018,.165,.239,.404,85.1,15.7,43.4,1.3,23.7,
Souza Jr., Steven,519306,2018,.369,.309,.678,88.7,16.2,35.5,7.8,39.8,
Stanton, Giancarlo,519317,2018,.509,.343,.852,93.8,11.6,30.3,15.4,50.8,
Szczur, Matt,519333,2018,.267,.262,.529,85.2,17,30.8,1.9,24.5,
Thames, Eric,519346,2018,.478,.306,.783,90.9,19.3,35.3,16.7,42.7,
Galvis, Freddy,520471,2018,.380,.299,.679,88.7,13.7,32.5,4.1,28.9,
Perez, Salvador,521692,2018,.439,.274,.713,91.4,18,35.4,10.8,47.5,
Forsythe, Logan,523253,2018,.291,.313,.604,87.3,10.4,29.4,1,29.8,
Flores, Wilmer,527038,2018,.417,.319,.736,86.4,17.4,32.6,2.8,27.1,
Marte, Jefry,527043,2018,.371,.273,.644,88.5,6.1,24.8,4.6,36.6,
Teheran, Julio,527054,2018,.250,.148,.398,83.7,6.8,22.2,0,15.6,
LaMarre, Ryan,534606,2018,.382,.322,.704,87.8,11.4,34.8,3.5,33.9,
Garcia, Avisail,541645,2018,.438,.281,.719,90.3,9.6,26.6,11.6,43.2,
Perez, Hernan,541650,2018,.386,.290,.676,87.9,11.5,34.1,4.9,32.5,
Perez, Carlos,542208,2018,.214,.173,.388,86.5,24.4,43.1,0,19.6,
Inciarte, Ender,542255,2018,.380,.323,.703,84.9,10.9,32.8,1.5,18.7,
Ozuna, Marcell,542303,2018,.433,.325,.758,91.5,10.8,30.3,9.7,45.1,
Villar, Jonathan,542340,2018,.384,.324,.708,88.5,3.2,27.2,5.1,36,
Ortega, Rafael,542364,2018,.271,.287,.557,84.9,12.8,30.9,0,22.7,
Aguilar, Jesus,542583,2018,.539,.352,.890,89.7,16.2,38.4,11.4,42.3,
Anderson, Tyler,542881,2018,.100,.150,.250,82.3,13.1,25,0,4.2,
